EmployeeCount,EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,DistanceFromHome(kms),JobInvolvement,JobLevel,JobSatisfaction,HourlyRate(USD),DailyRate(USD),MonthlyRate(USD),MonthlyIncome (USD),SalaryHike(RS),StockOptionLevel,StandardHours,OverTime,No.ofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrmanager,EnvironmentSatisfaction,TrainingTimesLastYear,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,Attrition
1,1,3,8,0,41,1,2,2,1,1,3,2,4,94,1102,19479,5993,1100,0,80,1,8,8,6,4,0,5,2,0,1,1,1,1
1,2,2,7,1,49,2,1,2,2,8,2,2,2,61,279,24907,5130,2300,1,80,0,1,10,10,7,1,7,3,3,3,2,4,0
1,4,2,3,1,37,1,2,5,1,2,2,1,3,92,1373,2396,2090,1500,0,80,1,6,7,0,0,0,0,4,3,3,1,2,1
1,5,2,7,0,33,2,4,2,2,3,3,1,3,56,1392,23159,2909,1100,0,80,1,1,8,8,7,3,0,4,3,3,1,3,0
1,7,2,3,1,27,2,1,4,1,2,3,1,2,40,591,16632,3468,1200,1,80,0,9,6,2,2,2,2,1,3,3,1,4,0
1,8,2,3,1,32,1,2,2,2,2,3,1,4,79,1005,11864,3068,1300,0,80,0,0,8,7,7,3,6,4,2,2,1,3,0
1,10,2,3,0,59,2,3,4,1,3,4,1,1,81,1324,9964,2670,2000,3,80,1,4,12,1,0,0,0,3,3,2,2,1,0
1,11,2,3,1,30,3,1,2,1,24,3,1,3,67,1358,13335,2693,2200,1,80,0,1,1,1,0,0,0,4,2,3,2,2,0
1,12,2,5,1,38,1,3,2,2,23,2,3,3,44,216,8787,9526,2100,0,80,0,0,10,9,7,1,8,4,2,3,2,2,0
1,13,2,1,1,36,2,3,4,1,27,3,2,3,94,1299,16577,5237,1300,2,80,0,6,17,7,7,7,7,3,3,2,1,2,0
1,14,2,3,1,35,2,3,4,1,16,4,1,2,84,809,16479,2426,1300,1,80,0,0,6,5,4,0,3,1,5,3,1,3,0
1,15,2,3,0,29,1,2,2,1,15,2,2,3,49,153,12682,4193,1200,0,80,1,0,10,9,5,0,8,4,3,3,1,4,0
1,16,2,7,1,31,3,1,2,1,26,3,1,3,31,670,15170,2911,1700,1,80,0,1,5,5,2,4,3,1,1,2,1,4,0
1,18,2,3,1,34,3,2,4,1,19,3,1,4,93,1346,8758,2661,1100,1,80,0,0,3,2,2,1,2,2,2,3,1,3,0
1,19,2,3,1,28,1,3,2,1,24,2,1,3,50,103,12947,2028,1400,0,80,1,5,6,4,2,0,3,3,4,3,1,2,1
1,20,2,5,0,29,3,4,2,1,21,4,3,1,51,1389,10195,9980,1100,1,80,0,1,10,10,9,8,8,2,1,3,1,3,0
1,21,2,7,1,32,3,2,2,1,5,4,1,2,80,334,15053,3298,1200,2,80,1,0,7,6,2,0,5,1,5,2,1,4,0
