Employee Count,Employee ID,Department,Job Role,Gender,Age,Over 18,Marital Status,Education,Education Field,Business Travel,Distance From Home (kms),Job Involvement,Job Level,Job Satisfaction,Hourly Rate (USD),Daily Rate (USD),Monthly Rate (USD),Monthly Income (USD),Salary Hike (%),Stock Option Level,Standard Hours,Over Time,No. of Companies Worked,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Training Times Last Year,Work Life Balance,Performance Rating,Relationship Satisfaction,Attrition (Yes/No)
1,1,Sales,Sales Executive,Female,41,Y,Single,College,Life Sciences,Travel_Rarely,1,High,2,Very High,94,1102,19479,5993,11,0,80,Yes,8,8,6,4,0,5,Medium,0,Bad,Excellent,Low,Yes
1,2,Research & Development,Research Scientist,Male,49,Y,Married,Below College,Life Sciences,Travel_Frequently,8,Medium,2,Medium,61,279,24907,5130,23,1,80,No,1,10,10,7,1,7,High,3,Better,Outstanding,Very High,No
1,4,Research & Development,Laboratory Technician,Male,37,Y,Single,College,Other,Travel_Rarely,2,Medium,1,High,92,1373,2396,2090,15,0,80,Yes,6,7,0,0,0,0,Very High,3,Better,Excellent,Medium,Yes
1,5,Research & Development,Research Scientist,Female,33,Y,Married,Master,Life Sciences,Travel_Frequently,3,High,1,High,56,1392,23159,2909,11,0,80,Yes,1,8,8,7,3,0,Very High,3,Better,Excellent,High,No
1,7,Research & Development,Laboratory Technician,Male,27,Y,Married,Below College,Medical,Travel_Rarely,2,High,1,Medium,40,591,16632,3468,12,1,80,No,9,6,2,2,2,2,Low,3,Better,Excellent,Very High,No
1,8,Research & Development,Laboratory Technician,Male,32,Y,Single,College,Life Sciences,Travel_Frequently,2,High,1,Very High,79,1005,11864,3068,13,0,80,No,0,8,7,7,3,6,Very High,2,Good,Excellent,High,No
1,10,Research & Development,Laboratory Technician,Female,59,Y,Married,Bachelor,Medical,Travel_Rarely,3,Very High,1,Low,81,1324,9964,2670,20,3,80,Yes,4,12,1,0,0,0,High,3,Good,Outstanding,Low,No
1,11,Research & Development,Laboratory Technician,Male,30,Y,Divorced,Below College,Life Sciences,Travel_Rarely,24,High,1,High,67,1358,13335,2693,22,1,80,No,1,1,1,0,0,0,Very High,2,Better,Outstanding,Medium,No
1,12,Research & Development,Manufacturing Director,Male,38,Y,Single,Bachelor,Life Sciences,Travel_Frequently,23,Medium,3,High,44,216,8787,9526,21,0,80,No,0,10,9,7,1,8,Very High,2,Better,Outstanding,Medium,No
1,13,Research & Development,Healthcare Representative,Male,36,Y,Married,Bachelor,Medical,Travel_Rarely,27,High,2,High,94,1299,16577,5237,13,2,80,No,6,17,7,7,7,7,High,3,Good,Excellent,Medium,No
1,14,Research & Development,Laboratory Technician,Male,35,Y,Married,Bachelor,Medical,Travel_Rarely,16,Very High,1,Medium,84,809,16479,2426,13,1,80,No,0,6,5,4,0,3,Low,5,Better,Excellent,High,No
